=== Nodo: host06 ===
CPUs: 16   Mem: 16384   Time: 'n/d'
Contenedor: /mnt/beegfs/home/mdroguett/Memoria/Evaluaci-n-Num-rica-de-la-Conjetura-de-Oertel-para-el-caso-unidimensional/ortel.sif
=========================
=== Lanzando experimentos seedless con 16 workers ===
Z=[0, 1, 2] | D=2 | N=300000 | N_cp=100 | N_hip=1000 | thr=0.18

>>> n_point=5 — 100 réplicas
[PROG] n_point=5: 1/100 (ok=0, err=1)
[PROG] n_point=5: 2/100 (ok=0, err=2)
[PROG] n_point=5: 3/100 (ok=0, err=3)
[PROG] n_point=5: 4/100 (ok=0, err=4)
[PROG] n_point=5: 5/100 (ok=0, err=5)
[PROG] n_point=5: 6/100 (ok=0, err=6)
[PROG] n_point=5: 7/100 (ok=0, err=7)
[PROG] n_point=5: 8/100 (ok=0, err=8)
[PROG] n_point=5: 9/100 (ok=0, err=9)
[PROG] n_point=5: 10/100 (ok=0, err=10)
[PROG] n_point=5: 11/100 (ok=0, err=11)
[PROG] n_point=5: 12/100 (ok=0, err=12)
[PROG] n_point=5: 13/100 (ok=0, err=13)
[PROG] n_point=5: 14/100 (ok=0, err=14)
[PROG] n_point=5: 15/100 (ok=0, err=15)
[PROG] n_point=5: 16/100 (ok=0, err=16)
[PROG] n_point=5: 17/100 (ok=0, err=17)
[PROG] n_point=5: 18/100 (ok=0, err=18)
[PROG] n_point=5: 19/100 (ok=0, err=19)
[PROG] n_point=5: 20/100 (ok=0, err=20)
[PROG] n_point=5: 21/100 (ok=0, err=21)
[PROG] n_point=5: 22/100 (ok=0, err=22)
[PROG] n_point=5: 23/100 (ok=0, err=23)
[PROG] n_point=5: 24/100 (ok=0, err=24)
[PROG] n_point=5: 25/100 (ok=0, err=25)
[PROG] n_point=5: 26/100 (ok=0, err=26)
[PROG] n_point=5: 27/100 (ok=0, err=27)
[PROG] n_point=5: 28/100 (ok=0, err=28)
[PROG] n_point=5: 29/100 (ok=0, err=29)
