seed,n_point,F,bestcp
1,20,0.3496724212137153,"[0.0, 0.4227169069454373, 0.5895020620840481]"
10,20,0.26273952884627744,"[1.0, 0.6138883610359921, 0.5311695453871681]"
11,20,0.37454806858785966,"[0.0, 0.5021592091590938, 0.4489960917456721]"
12,20,0.2784402504849228,"[0.0, 0.5464398631696714, 0.5645631535911387]"
13,20,0.31645975350999955,"[1.0, 0.5826751472313618, 0.5846239831347064]"
14,20,0.2678630279706154,"[0.0, 0.6331373954105736, 0.5007398668876059]"
15,20,0.2633864253513833,"[1.0, 0.48414201670825785, 0.683090735784935]"
16,20,0.32000528124773736,"[0.0, 0.4267458202889547, 0.45790591131320846]"
17,20,0.341297919978123,"[1.0, 0.3858240375891985, 0.42816449909360843]"
18,20,0.26220842830124635,"[0.0, 0.6642032633236872, 0.5024371202574918]"
19,20,0.2604475887445118,"[1.0, 0.4990311255160551, 0.5566553089126894]"
2,20,0.33358190920075953,"[1.0, 0.4683243818567153, 0.35504944704024455]"
20,20,0.28569157507569354,"[1.0, 0.45984812065223757, 0.2958112968254487]"
21,20,0.38166739177724607,"[1.0, 0.6560873517444038, 0.4403019037015443]"
22,20,0.3785920065515274,"[0.0, 0.41673202304119017, 0.6063814336878434]"
23,20,0.15312347088566303,"[0.0, 0.5783593242921524, 0.5181753241019371]"
24,20,0.3293929565123822,"[0.0, 0.5977406372616365, 0.3074423124793745]"
25,20,0.2241005040171665,"[0.0, 0.451980342301886, 0.3818275256744177]"
3,20,0.25262767404476316,"[0.0, 0.5116450272870918, 0.33643108386183496]"
4,20,0.21966817611748823,"[1.0, 0.7842760222170254, 0.6283150439341991]"
5,20,0.24146253110842433,"[1.0, 0.40122574799263144, 0.5532500397935409]"
6,20,0.314914499176315,"[1.0, 0.418342830892918, 0.5427339293852906]"
7,20,0.3578005152526495,"[1.0, 0.5736411794985231, 0.6387499660221029]"
8,20,0.30486539802391033,"[0.0, 0.509974007901371, 0.5650279397645245]"
9,20,0.386426418569078,"[1.0, 0.5004013271784574, 0.568854340604399]"
