n_point,F,bestcp
5,0.18940849506285815,"[1.0, 0.4790335153981873, 0.5411410533042087]"
5,0.15509560182592147,"[1.0, 0.4668880214423332, 0.4872168198529513]"
5,0.1870364117595905,"[1.0, 0.5230497755258564, 0.5547374324650892]"
5,0.23863769159298065,"[1.0, 0.5909555308229673, 0.5302835128041946]"
5,0.164351034906651,"[1.0, 0.5571904533793476, 0.6061164859959558]"
5,0.26504280161237587,"[1.0, 0.40364743131212144, 0.559578709086032]"
5,0.19758241486581868,"[1.0, 0.5627918706628726, 0.5581086928495876]"
5,0.17976852394607798,"[1.0, 0.3987112518305118, 0.4375902582978992]"
5,0.1979472223960924,"[1.0, 0.5103146007855149, 0.5565428896545641]"
5,0.23005590266441822,"[1.0, 0.4877993981963189, 0.617531521453248]"
5,0.21160566829085523,"[0.0, 0.48104737282316556, 0.40763763942797515]"
5,0.1364205550430201,"[1.0, 0.4536161218532765, 0.46814659094390065]"
5,0.17324068202750725,"[1.0, 0.5689958313452708, 0.521383497740482]"
5,0.1885358413860895,"[2.0, 0.3740879208068295, 0.3651501263610104]"
5,0.22240688977950157,"[1.0, 0.46761151441011917, 0.6387698607476029]"
5,0.2007640990230315,"[0.0, 0.415554923691545, 0.5040800276258016]"
5,0.23522853199883179,"[1.0, 0.3918405111894613, 0.5246590450299571]"
